Country Code,Country Name,GDP,Population
ISL,Iceland,31020032583.1972,393600
ISR,Israel,509901495702.103,9756700
ITA,Italy,2254851212731.8,58761146
JAM,Jamaica,19423355367.2372,2825544
JOR,Jordan,50813642348.6746,11337052
JPN,Japan,4212945159781.4,124516650
KAZ,Kazakhstan,261421121085.572,19900177
KEN,Kenya,107440575838.048,55100586
KGZ,Kyrgyz Republic,13987627908.8381,7100800
KHM,Cambodia,31772759998.8571,16944826
KIR,Kiribati,279034355.108421,133515
KNA,St. Kitts and Nevis,1077033111.11111,47755
KOR,"Korea, Rep.",1712792854202.37,51712619
KWT,Kuwait,161772221950.942,4310108
LAC,Latin America & Caribbean (excluding high income),6050580948759.95,600825676
LAO,Lao PDR,15843155731.2552,7633779
LBN,Lebanon,17937256175.141,5353930
LBR,Liberia,4332000000,5418377
LBY,Libya,50491722445.7773,6888388
LCA,St. Lucia,2519925938.52447,180251
LCN,Latin America & Caribbean ,7094329636592.52,664155299
LDC,Least developed countries: UN classification,1504251159792.01,1150346774
LIC,Low income,646797730009.089,722984063
LIE,Liechtenstein,N/A,39584
LKA,Sri Lanka,84356860421.13,22037000
LMC,Lower middle income,7384750127842.02,3059564861
LMY,Low & middle income,37425214512640,6593137026
LSO,Lesotho,2046039024.45854,2330318
LTE,Late-demographic dividend,28341396914858.3,2326833223
LTU,Lithuania,77836396962.772,2871897
LUX,Luxembourg,85755006123.5976,668606
LVA,Latvia,43627078481.287,1881750
MAC,"Macao SAR, China",47061843715.8565,704149
MAF,St. Martin (French part),N/A,32077
MAR,Morocco,141109373209.414,37840044
MCO,Monaco,N/A,36297
MDA,Moldova,16539436547.295,2486891
MDE,Middle East (developing only),N/A,N/A
MDG,Madagascar,16031702914.9195,30325732
MDV,Maldives,6600000000,521021
MEA,Middle East & North Africa,4287684126920.02,500787313
MEX,Mexico,1788886821046.81,128455567
MHL,Marshall Islands,284000000,41996
MIC,Middle income,36786942112904.5,5870152963
MKD,North Macedonia,14761237042.2057,1811980
MLI,Mali,20904898296.2501,23293698
MLT,Malta,20956999452.4317,553214
MMR,Myanmar,64815031669.0952,54577997
MNA,Middle East & North Africa (excluding high income),1646554468701.67,430857111
MNE,Montenegro,7404541964.50779,616177
MNG,Mongolia,19872180369.6275,3447157
MNP,Northern Mariana Islands,N/A,49796
MOZ,Mozambique,20624597846.5495,33897354
MRT,Mauritania,10452577062.7581,4862989
MUS,Mauritius,14397127281.3829,1261041
MWI,Malawi,14084341062.3675,20931751
MYS,Malaysia,399648828546.504,34308525
NAC,North America,29509296092073.6,375076145
NAF,North Africa,N/A,N/A
NAM,Namibia,12351024843.7467,2604172
NCL,New Caledonia,N/A,267940
NER,Niger,16819170420.5653,27202843
NGA,Nigeria,362814951696.073,223804632
NIC,Nicaragua,17829215283.7997,7046310
NLD,Netherlands,1118124749886.29,17879488
NOR,Norway,485513316503.63,5519594
NPL,Nepal,40908073366.8455,30896590
NRS,Non-resource rich Sub-Saharan Africa countries,N/A,N/A
NRU,Nauru,154127798.193541,12780
NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",N/A,N/A
NZL,New Zealand,253465703232.146,5223100
OED,OECD members,64098865773303,1385005653
OMN,Oman,108192457737.321,4644384
OSS,Other small states,234402049500.764,14240737
PAK,Pakistan,338368455317.876,240485658
PAN,Panama,83382400000,4468087
PER,Peru,267603248655.253,34352719
PHL,Philippines,437146372729.942,117337368
PLW,Palau,263020733.717011,18058
PNG,Papua New Guinea,30932496249.7917,10329931
POL,Poland,811229100687.566,36685849
PRE,Pre-demographic dividend,1562533897053.54,1065710613
PRI,Puerto Rico,117902300000,3205691
PRK,"Korea, Dem. People's Rep.",N/A,26160821
PRT,Portugal,287080013574.497,10525347
PRY,Paraguay,42956263543.9482,6861524
PSE,West Bank and Gaza,17396300000,5165775
PSS,Pacific island small states,11232231820.2487,2677728
PST,Post-demographic dividend,59851800976561.2,1119478514
PYF,French Polynesia,N/A,308872
QAT,Qatar,N/A,2716391
ROU,Romania,351002579629.67,19056116
RRS,Resource rich Sub-Saharan Africa countries,N/A,N/A
RUS,Russian Federation,2021421476035.42,143826130
RWA,Rwanda,14097768647.6695,14094683
SAS,South Asia,4475567635413.06,1938549529
SAU,Saudi Arabia,1067582933333.33,36947025
SDN,Sudan,109327023588.732,48109006
SEN,Senegal,31013986429.1861,17763163
SGP,Singapore,501427500080.059,5917648
SLB,Solomon Islands,1631286701.11516,740424
SLE,Sierra Leone,3809832236.95959,8791092
SLV,El Salvador,34015620000,6364943
SMR,San Marino,N/A,33642
SOM,Somalia,11679800110.1523,18143378
SRB,Serbia,75187125426.7375,6618026
SSA,Sub-Saharan Africa (excluding high income),2030607752381.92,1241778044
SSD,South Sudan,N/A,11088796
SSF,Sub-Saharan Africa ,2032749202553.06,1241897817
SST,Small states,298978248910.632,20086203
STP,Sao Tome and Principe,603240748.954207,231856
SUR,Suriname,3782437296.04323,623236
SVK,Slovak Republic,132793622283.071,5426740
SVN,Slovenia,68216781410.5228,2120937
SWE,Sweden,593267701033.408,10536632
SWZ,Eswatini,4597855845.04276,1210822
SXM,Sint Maarten (Dutch part),1623165683.12849,41163
SXZ,Sub-Saharan Africa excluding South Africa,N/A,N/A
SYC,Seychelles,2141450171.13932,119773
SYR,Syrian Arab Republic,N/A,23227014
TCA,Turks and Caicos Islands,1402054390.94734,46062
TCD,Chad,13149325358.7383,18278568
TEA,East Asia & Pacific (IDA & IBRD countries),21124121301342.6,2107522258
TEC,Europe & Central Asia (IDA & IBRD countries),5466276097557.09,457326090
TGO,Togo,9171261835.06264,9053799
THA,Thailand,514944993833.578,71801279
TJK,Tajikistan,12060602008.8478,10143543
TKM,Turkmenistan,59887334844.0651,6516100
TLA,Latin America & the Caribbean (IDA & IBRD countries),6772781697090.74,648763330
TLS,Timor-Leste,2243142908.46161,1360596
TMN,Middle East & North Africa (IDA & IBRD countries),1629170225345.52,425691336
TON,Tonga,N/A,107773
TSA,South Asia (IDA & IBRD),4475567635413.06,1938549529
TSS,Sub-Saharan Africa (IDA & IBRD countries),2032749202553.06,1241897817
TTO,Trinidad and Tobago,28139944790.2911,1534937
TUN,Tunisia,48529595416.6533,12458223
TUR,Turkiye,1108022373259.51,85326000
TUV,Tuvalu,62280311.5852172,11396
TZA,Tanzania,79158286333.524,67438106
UGA,Uganda,49272882213.623,48582334
UKR,Ukraine,178757021386.809,37000000
UMC,Upper middle income,29403677430761.2,2810588102
URY,Uruguay,77240831587.167,3423108
USA,United States,27360935000000,334914895
UZB,Uzbekistan,90889149306.7313,36412350
VCT,St. Vincent and the Grenadines,1065962962.96296,103698
VEN,"Venezuela, RB",N/A,28838499
VGB,British Virgin Islands,N/A,31538
VIR,Virgin Islands (U.S.),N/A,104917
VNM,Viet Nam,429716969049.593,98858950
VUT,Vanuatu,1126313359.21923,334506
WLD,World,105435039507024,8024997028
WSM,Samoa,934100336.275654,225681
XKX,Kosovo,10438351483.1677,1756374
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,N/A,N/A
YEM,"Yemen, Rep.",N/A,34449825
ZAF,South Africa,377781600985.873,60414495
ZMB,Zambia,28162630953.9285,20569737
ZWE,Zimbabwe,26538273498.8461,16665409
